,alcoholic,drink,glass,ingredients,ingredients_and_quantities,instructions
221,Alcoholic,Kentucky Colonel,Cocktail glass,"Lemon peel, Benedictine, Bourbon, ","Lemon peel - 1 twist of , Benedictine - 1/2 oz , Bourbon - 3 oz , ",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
222,Alcoholic,Kool-Aid Slammer,Shot glass,"Vodka, Kool-Aid, ","Vodka - 1/2 oz , Kool-Aid - 1/2 oz Grape , ","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
223,Non alcoholic,Kiwi Papaya Smoothie,Highball Glass,"Papaya, Kiwi, ","Papaya - 1/2 , Kiwi - 3 , ",Throw everything into a blender and liquify.
224,Non alcoholic,Kill the cold Smoothie,Highball glass,"Water, Lemon, Ginger, ","Water - 1 cup hot , Lemon - 1/4 , Ginger - 1 inch , ",Juice ginger and lemon and add it to hot water. You may add cardomom.
225,Non alcoholic,Limeade,Highball glass,"Lime peel, Soda water, Sugar, Lime, ","Lime peel, Soda water -  (seltzer water)
, Sugar - 1 tblsp , Lime - Juice of 1 , ","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
226,Alcoholic,Lunch Box,Pint glass,"Orange juice, Amaretto, Beer, ","Orange juice - 1 oz , Amaretto - 1 shot , Beer - 3/4 bottle , ",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
227,Alcoholic,Lemon Drop,Cocktail glass,"Lemon, Cointreau, Vodka, ","Lemon - Juice of 1 wedge , Cointreau - 1 1/2 shot , Vodka - 1 1/2 shot , ",Shake and strain into a chilled cocktail glass rimmed with sugar.
228,Alcoholic,Lemon Shot,Shot glass,"151 proof rum, Sugar, Lemon, Absolut Citron, Galliano, ","151 proof rum, Sugar - Bacardi , Lemon -  wedge
, Absolut Citron - 1/2 oz , Galliano - 1/2 oz , ","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
229,Alcoholic,Long vodka,Highball glass,"Ice, Tonic water, Angostura bitters, Lime, Vodka, ","Ice - 4 , Tonic water - 1 dl Schweppes , Angostura bitters - 4 dashes , Lime - 1/2 , Vodka - 5 cl , ","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
230,Non alcoholic,Lassi Khara,Highball Glass,"Asafoetida, Salt, Water, Yoghurt, ","Asafoetida - 1 pinch , Salt - 1 tsp , Water - 2 cups cold , Yoghurt - 1 cup , ",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
231,Non alcoholic,Lassi Raita,Highball Glass,"Salt, Lime, Sugar, Ice, Yoghurt, ","Salt, Lime, Sugar, Ice - 4-6 , Yoghurt - 2 cups , ","Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead."
232,Non alcoholic,Lemouroudji,Highball Glass,"Cayenne pepper, Sugar, Lemon, Water, Ginger, ","Cayenne pepper - ground , Sugar - 1 cup , Lemon - 1 lb , Water - 1 gal , Ginger - 2 pieces , ","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
233,Alcoholic,Loch Lomond,Cocktail glass,"Lemon peel, Dry Vermouth, Drambuie, Scotch, ","Lemon peel - 1 twist of , Dry Vermouth - 1/2 oz , Drambuie - 1/2 oz , Scotch - 2 oz , ","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
234,Alcoholic,London Town,Cocktail glass,"Orange bitters, Maraschino liqueur, Gin, ","Orange bitters - 2 dashes , Maraschino liqueur - 1/2 oz , Gin - 1 1/2 oz , ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
235,Non alcoholic,Lassi - Mango,Highball glass,"Water, Sugar, Yoghurt, Mango, ","Water - 1 cup iced , Sugar - 1/2 cup , Yoghurt - 2 cups , Mango - 2 , ",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
236,Non alcoholic,Lassi - Sweet,Highball glass,"Lemon juice, Salt, Sugar, Water, Yoghurt, ","Lemon juice - 2 tblsp , Salt - pinch , Sugar - 4 tblsp , Water - 2 cups cold , Yoghurt - 1 cup , ",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
237,Alcoholic,Limona Corona,Beer Glass,"Bacardi Limon, Corona, ","Bacardi Limon - 1 oz , Corona - 1 bottle , ","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink."
238,Alcoholic,Lord And Lady,Old-fashioned glass,"Tia maria, Dark rum, ","Tia maria - 1/2 oz , Dark rum - 1 1/2 oz , ",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.
239,Alcoholic,Lady Love Fizz,Cocktail glass,"Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin, ","Carbonated water, Egg white - 1 , Lemon - Juice of 1/2, Powdered sugar - 1 tsp , Light cream - 2 tsp , Gin - 2 oz , ","Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
240,Alcoholic,Long Island Tea,Highball glass,"Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka, ","Coca-Cola - 1 splash , Lemon - Juice of 1/2 , Tequila - 1/2 oz , Gin - 1/2 oz , Light rum - 1/2 oz , Vodka - 1/2 oz , ",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
241,Alcoholic,Lone Tree Cooler,Collins glass,"Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ","Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass."
242,Alcoholic,Lone Tree Cocktail,Cocktail glass,"Gin, Sweet Vermouth, ","Gin - 1 1/2 oz , Sweet Vermouth - 3/4 oz , ","Stir ingredients with ice, strain into a cocktail glass, and serve."
243,Alcoholic,Lazy Coconut Paloma,Highball glass,"Soda Water, Grapefruit Juice, Coconut Liqueur, ","Soda Water - Top, Grapefruit Juice - 75 ml, Coconut Liqueur - 30 ml, ",Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
244,Alcoholic,Long Island Iced Tea,Highball glass,"Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka, ","Lemon peel - Twist of , Coca-Cola - 1 dash , Gin - 1/2 oz , Light rum - 1/2 oz , Tequila - 1/2 oz , Vodka - 1/2 oz , ",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
245,Alcoholic,Lemon Elderflower Spritzer,Highball glass,"Fresh Lemon Juice, Soda Water, Vodka, Elderflower cordial, ","Fresh Lemon Juice - Top, Soda Water - 1/3 cup, Vodka - 1 shot, Elderflower cordial - 2 tsp, ","Pour all ingredients over ice, stir and enjoy!

"
246,Non alcoholic,Lassi - A South Indian Drink,Highball Glass,"Mint, Salt, Cumin seed, Water, Yoghurt, ","Mint - 1/4 tsp dried , Salt - 1/4 tsp , Cumin seed - 1/2 tsp ground roasted , Water - 1 1/4 cup cold , Yoghurt - 1/2 cup plain , ","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
247,Non alcoholic,Melya,Coffee mug,"Cocoa powder, Honey, Espresso, ","Cocoa powder, Honey - Unsweetened , Espresso, ","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
248,Alcoholic,Mojito,Highball glass,"Soda water, Mint, Sugar, Lime, Light rum, ","Soda water, Mint - 2-4 , Sugar - 2 tsp , Lime - Juice of 1 , Light rum - 2-3 oz , ",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
249,Alcoholic,Mimosa,Champagne flute,"Orange juice, Champagne, ","Orange juice - 2 oz , Champagne - Chilled , ","Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
250,Alcoholic,Mai Tai,Collins glass,"Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum, ","Cherry - 1 , Sweet and sour - 1 1/2 oz , Triple sec - 1/2 oz , Orgeat syrup - 1/2 oz , Light rum - 1 oz , ",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
251,Alcoholic,Martini,Cocktail glass,"Olive, Dry Vermouth, Gin, ","Olive - 1 , Dry Vermouth - 1/3 oz , Gin - 1 2/3 oz , ","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
252,Alcoholic,Michelada,Pint glass,"Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer, ","Soy Sauce - Dash, Worcestershire Sauce - Dash, Hot Sauce - Dash, Lime Juice - 1 tblsp, Tomato Juice - 4 oz, Beer - 4 oz, ","Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.

Served In a chilled, salt-rimmed glass

"
253,Alcoholic,Manhattan,Cocktail glass,"Orange peel, Maraschino cherry, Ice, Angostura bitters, Bourbon, Sweet Vermouth, ","Orange peel - 1 twist of , Maraschino cherry - 1 , Ice - 2 or 3 , Angostura bitters - dash , Bourbon - 2 1/2 oz Blended , Sweet Vermouth - 3/4 oz , ","Stirred over ice, strained into a chilled glass, garnished, and served up."
254,Alcoholic,Margarita,Cocktail glass,"Salt, Lime juice, Triple sec, Tequila, ","Salt, Lime juice - 1 oz , Triple sec - 1/2 oz , Tequila - 1 1/2 oz , ","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
255,Alcoholic,Mauresque,Collins glass,"Water, Orgeat Syrup, Ricard, "," - ,  - ,  - ,  - , Water - Full Glass, Orgeat Syrup - 1 cl, Ricard - 3 cl, ","1 - Pour the Ricard (or pastis)

2 - Pour the orgeat syrup

3 - Finally pour the water and add ice cubes at your convenience.



Add the ice cubes at the end, otherwise the syrup and pastis do not mix well."
256,Alcoholic,Mint Julep,Collins glass,"Water, Powdered sugar, Bourbon, Mint, ","Water - 2 tsp , Powdered sugar - 1 tsp , Bourbon - 2 1/2 oz , Mint - 4 fresh , ","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig."
257,Alcoholic,Mudslinger,Punch bowl,"Pepsi Cola, Orange juice, Southern Comfort, ","Pepsi Cola - 750 ml , Orange juice - 1 L , Southern Comfort - 750 ml , ",Add all contents to a large jug or punch bowl. Stir well!
258,Alcoholic,Martinez 2,Cocktail glass,"Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin, ","Angostura Bitters - 2 dashes, Maraschino Liqueur - 1 tsp, Sweet Vermouth - 1 1/2 oz, Gin - 1 1/2 oz, ","Add all ingredients to a mixing glass and fill with ice.



Stir until chilled, and strain into a chilled coupe glass."
259,Alcoholic,Moranguito,Shot glass,"Grenadine, Tequila, Absinthe, ","Grenadine - 1/5 , Tequila - 2/5 , Absinthe - 2/5 , ","first you put rhe absinthe, then put tequila, then put the Granadine syrup."
260,Alcoholic,Miami Vice,Cocktail glass,"Daiquiri mix, Pina colada mix, 151 proof rum, ","Daiquiri mix - frozen , Pina colada mix - frozen , 151 proof rum - 5 oz Bacardi , ","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
261,Alcoholic,Moscow Mule,Copper Mug,"Ginger ale, Lime juice, Vodka, ","Ginger ale - 8 oz , Lime juice - 2 oz , Vodka - 2 oz , ",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
262,Alcoholic,Mulled Wine,Collins Glass,"Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water, ","Brandy - 1/4 cup , Red wine - 750 ml , Lemon peel - 1 , Cinnamon - 2 , Cloves - 12 , Sugar - 1 cup , Water - 3 cups , ","Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
263,Non alcoholic,Masala Chai,Coffee Mug,"Milk, Sugar, Black pepper, Cinnamon, Cloves, Cardamom, Ginger, Tea, Water, ","Milk - to taste, Sugar -  to taste
, Black pepper - 1-2 whole , Cinnamon - 1 piece , Cloves - 3 , Cardamom - 3-4 crushed , Ginger - 1 chunk dried , Tea - 3-4 tsp , Water - 2 cups , ",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.
264,Alcoholic,Munich Mule,Highball glass,"lemon, Cucumber, Ginger Beer, Lime Juice, Gin, ","lemon - Chopped, Cucumber - Chopped, Ginger Beer - 10 cl, Lime Juice - 2 cl, Gin - 5 cl, ","Fill glass with ice

Pour Gin and Lime Juice

Fill glass with Ginger Beer

Garnish with Cucumer and Lime slice"
265,Alcoholic,Mocha-Berry,Irish coffee cup,"Whipped cream, Cocoa powder, Chambord raspberry liqueur, Coffee, ","Whipped cream, Cocoa powder - 2 tblsp , Chambord raspberry liqueur - 2 oz , Coffee - 6 oz , ","pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
266,Alcoholic,Mango Mojito,Jar,"Mango, Soda Water, Ice, White Rum, Mint, Mango, Lime, ","Mango - Garnish with, Soda Water - Top, Ice - cubes, White Rum - 200 ml, Mint - Sprig, Mango - 1 Fresh, Lime - 3, ","Squeeze the juice from 1� limes and blend with the mango to give a smooth pur�e.

Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.

Divide the mango pur�e between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
267,Alcoholic,Mojito Extra,Collins glass,"Angostura bitters, Club soda, Dark rum, Lemon juice, Mint, ","Angostura bitters - 8 drops , Club soda - 1/8 L , Dark rum - 1/8 L Jamaican , Lemon juice - 3 cl , Mint - 1/2 handful , ","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
268,Alcoholic,Monkey Gland,Cocktail glass,"Grenadine, Orange juice, Benedictine, Gin, ","Grenadine - 1 tsp , Orange juice - 1/2 oz , Benedictine - 1 tsp , Gin - 2 oz , ","Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
269,Alcoholic,Midnight Mint,Cocktail glass,"Cream, White Creme de Menthe, Baileys irish cream, ","Cream - 3/4 oz double , White Creme de Menthe - 3/4 oz , Baileys irish cream - 1 oz , ","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
270,Alcoholic,Mary Pickford,Cocktail glass,"Maraschino cherry, Grenadine, Maraschino liqueur, Pineapple juice, Light rum, ","Maraschino cherry - 1 , Grenadine - 1/2 tsp , Maraschino liqueur - 1/2 tsp , Pineapple juice - 1 oz , Light rum - 1 1/2 oz , ",Shake and strain into a chilled large cocktail glass
271,Alcoholic,Monkey Wrench,Old-fashioned glass,"Bitters, Grapefruit juice, Light rum, ","Bitters - 1 dash , Grapefruit juice - 3 oz , Light rum - 1 1/2 oz , ",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
272,Alcoholic,Negroni,Old-fashioned glass,"Sweet Vermouth, Campari, Gin, ","Sweet Vermouth - 1 oz , Campari - 1 oz , Gin - 1 oz , ","Stir into glass over ice, garnish and serve."
273,Alcoholic,New York Sour,Whiskey sour glass,"Cherry, Lemon, Red wine, Sugar, Lemon, Blended whiskey, ","Cherry, Lemon, Red wine -  (Claret)
, Sugar - 1 tsp , Lemon - Juice of 1/2 , Blended whiskey - 2 oz , ","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve."
274,Alcoholic,Nutty Irishman,Highball Glass,"Milk, Frangelico, Baileys irish cream, ","Milk - 1 part , Frangelico - 1 part , Baileys irish cream - 1 part , ",Serve over ice
275,Alcoholic,National Aquarium,Collins Glass,"Lemon-lime soda, Sour mix, Blue Curacao, Gin, Vodka, Rum, ","Lemon-lime soda - 1 splash , Sour mix - 2 oz , Blue Curacao - 1/2 oz , Gin - 1/2 oz , Vodka - 1/2 oz , Rum - 1/2 oz , ",Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.
276,Alcoholic,New York Lemonade,Cocktail glass,"Club soda, Lemon juice, Grand Marnier, Absolut Citron, ","Club soda - 1 oz , Lemon juice - 2 oz sweetened , Grand Marnier - 1 oz , Absolut Citron - 2 oz , ",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.
277,Non alcoholic,Nuked Hot Chocolate,Coffee mug,"Milk, Vanilla extract, Sugar, Cocoa powder, ","Milk - 12 oz , Vanilla extract - 1/2 tsp , Sugar - 1 tsp , Cocoa powder - 2 tsp , ","Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts."
278,Alcoholic,Orgasm,Cocktail glass,"Light cream, Vodka, Triple sec, Amaretto, Creme de Cacao, ","Light cream - 1 oz , Vodka - 1/2 oz , Triple sec - 1/2 oz , Amaretto - 1/2 oz , Creme de Cacao - 1/2 oz white , ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
279,Alcoholic,Old Pal,Nick and Nora Glass,"Dry Vermouth, Campari, Rye whiskey, ","Dry Vermouth - 1 oz, Campari - 1 oz, Rye whiskey - 2 oz, ","Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel."
280,Non alcoholic,Orangeade,Highball glass,"Soda water, Sugar syrup, Orange juice, Lemon juice, ","Soda water, Sugar syrup - 2-3 cl , Orange juice - 15 cl , Lemon juice - 5 cl , ","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw."
281,Alcoholic,Orange Whip,Collins Glass,"Ice, Cream, Vodka, Rum, Orange juice, ","Ice - Over , Cream - 1 package , Vodka - 1 oz , Rum - 1 oz , Orange juice - 4 oz , ",Pour ingredients over ice and stir.
282,Alcoholic,Orange Crush,Shot glass,"Orange juice, Triple sec, Vodka, ","Orange juice - 1 oz , Triple sec - 1 oz , Vodka - 1 oz , ",Add all ingredients to tumbler-Pour as shot
283,Alcoholic,Orange Oasis,Highball glass,"Ginger ale, Orange juice, Gin, Cherry brandy, ","Ginger ale, Orange juice - 4 oz , Gin - 1 1/2 oz , Cherry brandy - 1/2 oz , ","Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve."
284,Alcoholic,Old Fashioned,Old-fashioned glass,"Water, Sugar, Angostura bitters, Bourbon, ","Water - dash, Sugar - 1 cube, Angostura bitters - 2 dashes, Bourbon - 4.5 cL, ","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.

Fill the glass with ice cubes and add whiskey.



Garnish with orange twist, and a cocktail cherry."
285,Alcoholic,Oreo Mudslide,Collins Glass,"Oreo cookie, Vanilla ice-cream, Baileys irish cream, Kahlua, Vodka, ","Oreo cookie - 1 , Vanilla ice-cream - 2 scoops , Baileys irish cream - 1 oz , Kahlua - 1 oz , Vodka - 1 oz , ","Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry."
286,Alcoholic,Oatmeal Cookie,Mason jar,"Goldschlager, Jagermeister, Butterscotch schnapps, Baileys irish cream, Kahlua, ","Goldschlager - 1/2 part, Jagermeister - 1 part, Butterscotch schnapps - 4 parts, Baileys irish cream - 2 parts, Kahlua - 2 parts, ","Just mix it all together.

It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.



Tastes like an oatmeal cookie."
287,Alcoholic,Orange Push-up,Hurricane glass,"Sour mix, Orange juice, Grenadine, Spiced rum, ","Sour mix - 1 splash , Orange juice - 4 oz , Grenadine - 0.5 oz , Spiced rum - 1.5 oz , ",Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!
288,Alcoholic,Orange Rosemary Collins,Highball glass,"Orange Peel, Rosemary, Soda Water, Rosemary Syrup, Lemon Juice, Orange Juice, Gin, ","Orange Peel - Garnish with, Rosemary - Garnish with, Soda Water - Top, Rosemary Syrup - 25 ml, Lemon Juice - Top, Orange Juice - Top, Gin - 1 shot, ",Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.
289,Non alcoholic,Orange Scented Hot Chocolate,Coffee mug,"Nutmeg, Espresso, Orange peel, Chocolate, Milk, ","Nutmeg - 1/8 tsp ground , Espresso - 1/2 tsp instant , Orange peel - 3 2-inch strips , Chocolate - 4 oz chopped bittersweet or semi-sweet , Milk - 2 cups , ","Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings."
290,Alcoholic,Owen's Grandmother's Revenge,Highball glass,"Ice, Lemonade, Beer, Whiskey, ","Ice - 1 cup crushed , Lemonade - 12 oz frozen , Beer - 12 oz , Whiskey - 12 oz , ",Add ingredients and mix in blender.
291,Alcoholic,Paloma,Collins glass,"Tequila, Grape Soda, ","Tequila - 1 1/2 oz, Grape Soda - 3 oz, ",Stir together and serve over ice.
292,Alcoholic,Paradise,Cocktail glass,"Orange Juice, Apricot Brandy, Gin, ","Orange Juice - 3 parts , Apricot Brandy - 4 parts, Gin - 7 parts, ",Shake together over ice. Strain into cocktail glass and serve chilled.
293,Alcoholic,Pink Gin,White wine glass,"Gin, Bitters, ","Gin - 2 oz , Bitters - 3 dashes , ","Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice."
294,Alcoholic,Pegu Club,Cocktail glass,"Orange Bitters, Angostura Bitters, Lime Juice, Orange Curacao, Gin, ","Orange Bitters - 1 dash, Angostura Bitters - 1 dash, Lime Juice - 3/4 oz, Orange Curacao - 3/4 oz, Gin - 1 1/2 oz, ","Shake, strain, up, cocktail glass"
295,Alcoholic,Pink Lady,Cocktail glass,"Egg white, Light cream, Grenadine, Gin, ","Egg white - 1 , Light cream - 1 tsp , Grenadine - 1 tsp , Gin - 1 1/2 oz , ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
296,Alcoholic,Pink Moon,Whiskey Glass,"Blackberries, Lime Juice, Elderflower cordial, Coconut Liqueur, Gin, ","Blackberries - Garnish with, Lime Juice - 30 ml, Elderflower cordial - 25 ml, Coconut Liqueur - 1 shot, Gin - 1 shot, ","Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!"
297,Alcoholic,Penicillin,Old-fashioned glass,"Islay single malt Scotch, Ginger Syrup, Honey syrup, Lemon Juice, Blended Scotch, ","Islay single malt Scotch - 1/4 oz, Ginger Syrup - 2 tsp, Honey syrup - 2 tsp, Lemon Juice - 3/4 oz, Blended Scotch - 2 oz, ","Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger."
298,Alcoholic,Pisco Sour,Cocktail glass,"Egg White, Ice, Sugar, Lemon juice, Pisco, ","Egg White, Ice - 1, Sugar - 1-2 tblsp , Lemon juice - 1 oz , Pisco - 2 oz , ","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.

"
299,Alcoholic,Porto flip,Cocktail glass,"Egg Yolk, Port, Brandy, ","Egg Yolk - 2 parts, Port - 9 parts, Brandy - 3 parts, ","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve."
300,Alcoholic,Pina Colada,Collins glass,"Pineapple, Coconut milk, Light rum, ","Pineapple - 3 tblsp , Coconut milk - 3 tblsp , Light rum - 3 oz , ","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
301,Alcoholic,Pink Penocha,Punch bowl,"Cranberry juice, Orange juice, Peach schnapps, Vodka, Everclear, ","Cranberry juice - 1 gal , Orange juice - 1 gal , Peach schnapps - 1750 ml , Vodka - 1750 ml , Everclear - 750 ml , ",mix all ingredients into bowl keep iced stir frequently
302,Alcoholic,Pure Passion,Whiskey sour glass,"Mint, Peach Bitters, Passion fruit syrup, Lime Juice, Passoa, Rum, ","Mint - Garnish with, Peach Bitters - Dash, Passion fruit syrup - 15 ml, Lime Juice - 30 ml, Passoa - 20 ml, Rum - 40 ml, ",Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.
303,Alcoholic,Popped cherry,Highball glass,"Orange juice, Cranberry juice, Cherry liqueur, Vodka, ","Orange juice - 4 oz , Cranberry juice - 4 oz , Cherry liqueur - 2 oz , Vodka - 2 oz , ",Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!
304,Alcoholic,Poppy Cocktail,Cocktail glass,"Creme de Cacao, Gin, ","Creme de Cacao - 3/4 oz white , Gin - 1 1/2 oz , ","Shake ingredients with ice, strain into a cocktail glass, and serve."
